"現住戶數、人口密度及性比例-年 依 期間, 鄉鎮市 與 項目"

" "," "," 土地面積"," 村里數"," 鄰數"," 現住戶數"," 現住人口數合計"," 男"," 女"," 戶量"," 人口密度"," 性比例"
" "," 壯圍鄉",38.4769,14,222,8125,25004,13176,11828,3.08,650,111.40
" "," 員山鄉",111.9106,16,327,10768,32347,17328,15019,3.00,289,115.37
" "," 冬山鄉",79.8573,24,460,17352,52635,27096,25539,3.03,659,106.10
" "," 五結鄉",38.8671,15,331,12978,38850,20167,18683,2.99,1000,107.94
" "," 三星鄉",144.2238,18,196,7471,21362,11556,9806,2.86,148,117.85
" "," 大同鄉",657.5442,10,76,1826,5987,3268,2719,3.28,9,120.19
" "," 南澳鄉",740.6520,7,51,1807,6014,3191,2823,3.33,8,113.04
"2011"
" "," 宜蘭縣",2143.6251,235,3751,156356,459061,233661,225400,2.94,214,103.66
" "," 宜蘭市",29.4080,40,543,33628,95521,46892,48629,2.84,3248,96.43
" "," 羅東鎮",11.3448,23,536,25239,72860,34905,37955,2.89,6422,91.96
" "," 蘇澳鎮",89.0196,26,433,13693,42417,21729,20688,3.10,476,105.03
" "," 頭城鎮",100.8930,24,262,9824,30556,15781,14775,3.11,303,106.81
" "," 礁溪鄉",101.4278,18,301,12577,35924,18794,17130,2.86,354,109.71
" "," 壯圍鄉",38.4769,14,222,8187,24674,13034,11640,3.01,641,111.98
" "," 員山鄉",111.9106,16,327,10956,32304,17302,15002,2.95,289,115.33
" "," 冬山鄉",79.8573,24,460,17738,52975,27246,25729,2.99,663,105.90
" "," 五結鄉",38.8671,15,331,13222,38772,20133,18639,2.93,998,108.02
" "," 三星鄉",144.2238,18,209,7629,21203,11468,9735,2.78,147,117.80
" "," 大同鄉",657.5442,10,76,1827,5931,3228,2703,3.25,9,119.42
" "," 南澳鄉",740.6520,7,51,1836,5924,3149,2775,3.23,8,113.48
"2012"
" "," 宜蘭縣",2143.6251,235,3750,159031,458595,233276,225319,2.88,214,103.53
" "," 宜蘭市",29.4080,40,543,34492,96016,47066,48950,2.78,3265,96.15
" "," 羅東鎮",11.3448,23,536,25442,72468,34735,37733,2.85,6388,92.05
" "," 蘇澳鎮",89.0196,26,433,13785,41855,21413,20442,3.04,470,104.75
" "," 頭城鎮",100.8930,24,262,9937,30304,15673,14631,3.05,300,107.12
" "," 礁溪鄉",101.4278,18,301,12948,36010,18801,17209,2.78,355,109.25
" "," 壯圍鄉",38.4769,14,221,8315,24551,13015,11536,2.95,638,112.82
" "," 員山鄉",111.9106,16,327,11058,32106,17184,14922,2.90,287,115.16
" "," 冬山鄉",79.8573,24,460,18088,53363,27418,25945,2.95,668,105.68
" "," 五結鄉",38.8671,15,331,13479,38999,20195,18804,2.89,1003,107.40
" "," 三星鄉",144.2238,18,209,7768,21122,11432,9690,2.72,146,117.98
" "," 大同鄉",657.5442,10,76,1855,5915,3215,2700,3.19,9,119.07
" "," 南澳鄉",740.6520,7,51,1864,5886,3129,2757,3.16,8,113.49
"2013"
" "," 宜蘭縣",2143.6251,235,3745,160883,458456,233000,225456,2.85,214,103.35
" "," 宜蘭市",29.4080,40,543,34816,95985,47023,48962,2.76,3264,96.04
" "," 羅東鎮",11.3448,23,537,25609,72352,34550,37802,2.83,6378,91.40
" "," 蘇澳鎮",89.0196,26,419,13861,41382,21124,20258,2.99,465,104.27
" "," 頭城鎮",100.8930,24,262,10001,30043,15532,14511,3.00,298,107.04
" "," 礁溪鄉",101.4278,18,301,13102,35998,18845,17153,2.75,355,109.86
" "," 壯圍鄉",38.4769,14,221,8389,24468,12976,11492,2.92,636,112.91
" "," 員山鄉",111.9106,16,327,11198,32195,17147,15012,2.88,288,114.22
" "," 冬山鄉",79.8573,24,468,18409,53731,27575,26156,2.92,673,105.43
" "," 五結鄉",38.8671,15,331,13759,39230,20339,18891,2.85,1009,107.66
" "," 三星鄉",144.2238,18,209,7961,21191,11489,9702,2.66,147,118.42
" "," 大同鄉",657.5442,10,76,1866,6005,3270,2735,3.22,9,119.56
" "," 南澳鄉",740.6520,7,51,1867,5912,3130,2782,3.17,8,112.51
"2014"
" "," 宜蘭縣",2143.6251,233,3670,162872,458777,232814,225963,2.82,214,103.03
" "," 宜蘭市",29.4080,38,478,35248,95885,46907,48978,2.72,3261,95.77
" "," 羅東鎮",11.3448,23,537,25819,72533,34588,37945,2.81,6394,91.15
" "," 蘇澳鎮",89.0196,26,408,13976,41018,20938,20080,2.93,461,104.27
" "," 頭城鎮",100.8930,24,262,10073,29890,15440,14450,2.97,296,106.85
" "," 礁溪鄉",101.4278,18,301,13331,35945,18765,17180,2.70,354,109.23
" "," 壯圍鄉",38.4769,14,221,8439,24492,12935,11557,2.90,637,111.92
" "," 員山鄉",111.9106,16,327,11368,32377,17207,15170,2.85,289,113.43
" "," 冬山鄉",79.8573,24,469,18562,53482,27510,25972,2.88,670,105.92
" "," 五結鄉",38.8671,15,331,14103,39378,20401,18977,2.79,1013,107.50
" "," 三星鄉",144.2238,18,209,8167,21503,11576,9927,2.63,149,116.61
" "," 大同鄉",657.5442,10,76,1884,6127,3318,2809,3.25,9,118.12
" "," 南澳鄉",740.6520,7,51,1902,6147,3229,2918,3.23,8,110.66
"2015"
" "," 宜蘭縣",2143.6251,233,3671,164911,458117,232217,225900,2.78,214,102.80
" "," 宜蘭市",29.4080,38,478,35640,96051,46907,49144,2.70,3266,95.45
" "," 羅東鎮",11.3448,23,537,26044,72404,34420,37984,2.78,6382,90.62
